sku,source_code,status,quantity
VA11-GO-NA,us_store,1,37
VA11-GO-NA,us_warehouse,1,256
VA12-SI-NA,us_store,1,57
VA12-SI-NA,us_warehouse,1,99
VA13-GO-NA,us_store,1,12
VA13-GO-NA,us_warehouse,1,309
VA14-SI-NA,us_store,1,43
VA14-SI-NA,us_warehouse,1,122
VA15-SI-NA,us_store,1,22
VA15-SI-NA,us_warehouse,1,190
VA16-GO-NA,us_store,1,15
VA16-GO-NA,us_warehouse,1,294
VA17-SI-NA,us_store,1,8
VA17-SI-NA,us_warehouse,1,429
VA18-GO-NA,us_store,1,34
VA18-GO-NA,us_warehouse,1,732
VA19-GO-NA,us_store,1,23
VA19-GO-NA,us_warehouse,1,341
VA20-SI-NA,us_store,1,9
VA20-SI-NA,us_warehouse,1,120
VA21-GO-NA,us_store,1,18
VA21-GO-NA,us_warehouse,1,320
VA22-SI-NA,us_store,1,11
VA22-SI-NA,us_warehouse,1,301
